Country,iso_country,meta_link
Netherlands,NLD,https://data.humdata.org/dataset/f678db99-269d-4244-9db8-a85c8042a27e/resource/058cb979-c1c3-4fad-b85f-29c5e879548c/download/population_nld_2019-07-01_geotiff.zip
New Caledonia,NCL,https://data.humdata.org/dataset/01332b5c-056e-44db-8584-37a5793a54a0/resource/88576696-9d2e-43c1-99d7-2bd2615d4629/download/population_ncl_2018-10-01_geotiff.zip
New Zealand,NZL,https://data.humdata.org/dataset/59ddfd7b-14e6-4309-be2c-f6d197a47e94/resource/21e8e20d-54b4-4039-91ee-b19c40c2ee3e/download/population_nzl_2018-10-01_geotiff.zip
Nicaragua,NIC,https://data.humdata.org/dataset/ce1b170e-132c-431e-b338-c536ec0408d9/resource/40eac4b2-c2af-4a64-8b28-03b299ee4d5f/download/population_nic_2018-10-01.zip
Niger,NER,https://data.humdata.org/dataset/ab6939a8-2546-48db-836e-644150628a2d/resource/d1d523fb-acfe-477a-bae0-6ab4d66b5734/download/population_ner_2018-10-01.zip
Nigeria,NGA,https://data.humdata.org/dataset/62ec6c48-2f23-476b-8c1e-e924ad79908d/resource/6eff0694-8fda-4329-8ed3-c81b000b88d4/download/nga_general_2020_geotiff.zip
Niue,NIU,no file
Norfolk Island,NFK,no file
North Macedonia,MKD,https://data.humdata.org/dataset/18d6003b-8cef-4962-a423-0c47cc83090c/resource/ddc7a805-94b0-45fb-8439-6c9144f4219e/download/population_mkd_2019-07-01_geotiff.zip
Northern Mariana Islands,MNP,https://data.humdata.org/dataset/83175901-d4c9-4662-8492-5fe17e8035e5/resource/a111413a-19db-4032-b567-57ef8f19f1ce/download/population_mnp_2018-10-01_geotiff.zip
Norway,NOR,https://data.humdata.org/dataset/1c1a90c0-17ee-4ee7-bb30-aeca9bd92f51/resource/65ef3c3b-0735-4c09-a9d3-3b8c3ba55c03/download/nor_general_2020_geotiff.zip
Oman,OMN,no file
Pakistan,PAK,https://data.humdata.org/dataset/2c8cfe67-448f-4a27-94b3-aaa944598cba/resource/e3dbe673-4117-4243-93a8-3366c6e6396b/download/population_ind_pak_general.zip
Palau,PLW,https://data.humdata.org/dataset/d25ac5bd-a4d1-450a-b24d-6f1c9b6f6087/resource/df72a9f8-6e59-4759-960e-a3d7dd248907/download/population_plw_2018-10-01_geotiff.zip
Panama,PAN,https://data.humdata.org/dataset/d81c3799-411b-426f-98e7-c4782b893612/resource/4e5832f8-a6a8-4cc6-b8e2-de66ef286a73/download/population_pan_2018-10-01.zip
Papua New Guinea,PNG,no file
Paraguay,PRY,https://data.humdata.org/dataset/318c589b-9091-4aa4-b384-351208be71e9/resource/ff7ab5de-5e9a-407f-a2ad-36cf6d3cf68b/download/population_pry_2018-10-01.zip
Peru,PER,https://data.humdata.org/dataset/4e74db39-87f1-4383-9255-eaf8ebceb0c9/resource/41831c01-87e0-4791-ad03-b0764df74528/download/population_per_2018-10-01.zip
Philippines,PHL,https://data.humdata.org/dataset/6d9f35c0-4764-49ee-b364-329db0b7a47d/resource/4a178155-b746-4f04-8f1b-2a79cc6f5153/download/population_phl_2018-10-01_geotiff.zip
Pitcairn,PCN,no file
Poland,POL,no file
Portugal,PRT,no file
Puerto Rico,PRI,https://data.humdata.org/dataset/ea41b712-e41e-4e84-9f5c-ed342b800355/resource/119f796e-b54a-4161-ad0c-053f6a27c5f6/download/population_pri_2018-10-01.zip
Qatar,QAT,no file
Reunion,REU,https://data.humdata.org/dataset/348b69aa-bf08-40b0-ad32-0b735c58a10d/resource/bb06ab8a-ad60-4f18-9a71-bebd6ced5c72/download/population_reu_2018-10-01.zip
Romania,ROU,no file
Russia,RUS,no file
Rwanda,RWA,https://data.humdata.org/dataset/0ee1affc-6a90-4ad3-b7eb-166645668fc3/resource/a9013c82-cee9-43aa-a741-75a7595ca4fb/download/rwa_general_2020_geotiff.zip
Saint Barthélemy,BLM,no file
Saint Kitts And Nevis,KNA,https://data.humdata.org/dataset/0645fa18-489a-4516-8221-91f5c134935b/resource/e7b1c188-99e8-4b6d-99b7-c33c8d2c377f/download/population_kna_2018-10-01.zip
Saint Lucia,LCA,https://data.humdata.org/dataset/cc06d3ce-7984-494b-8ad3-bd14e7afd183/resource/c503acf3-aa1c-4516-a460-8a20f2924e74/download/population_lca_2018-10-01.zip
Saint Martin,MAF,no file
Saint Vincent And The Grenadines,VCT,https://data.humdata.org/dataset/a06f7e33-acab-409b-b244-a0f07b107d49/resource/bffb32d4-9d5a-49e8-be37-26da6d72e4ed/download/population_vct_2018-10-01.zip
Samoa,WSM,https://data.humdata.org/dataset/693a4f64-eeca-4ae6-aa89-b7dd56748dc9/resource/7d107d22-fffc-4cd9-b678-fd1f52d63e02/download/population_wsm_2018-10-01_geotiff.zip
